@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
171,'2023/12/29 18:59:08:388',11,13,105,0.533385,0.501254,0.441337,0.313929,0.729236
172,'2023/12/29 18:59:08:735',11,14,105,0.533385,0.501254,0.441337,0.313929,0.729236
173,'2023/12/29 18:59:08:787',11,15,105,0.533385,0.501254,0.441337,0.313929,0.729236
174,'2023/12/29 18:59:08:892',11,17,106,0.533385,0.501254,0.441337,0.313929,0.729236
175,'2023/12/29 18:59:08:944',11,17,107,0.533385,0.501254,0.441337,0.313929,0.729236
176,'2023/12/29 18:59:09:098',11,17,108,0.533385,0.501254,0.441337,0.313929,0.729236
177,'2023/12/29 18:59:09:150',11,16,108,0.533385,0.501254,0.441337,0.313929,0.729236
178,'2023/12/29 18:59:09:199',11,16,109,0.533385,0.501254,0.441337,0.313929,0.729236
179,'2023/12/29 18:59:09:301',11,15,109,0.533385,0.501254,0.441337,0.313929,0.729236
180,'2023/12/29 18:59:21:176',12,150,10,0.483177,0.664404,0.654944,0.695639,0.923232
181,'2023/12/29 18:59:21:523',12,150,9,0.483177,0.664404,0.654944,0.695639,0.923232
182,'2023/12/29 18:59:21:628',12,148,9,0.483177,0.664404,0.654944,0.695639,0.923232
183,'2023/12/29 18:59:21:772',12,147,10,0.483177,0.664404,0.654944,0.695639,0.923232
184,'2023/12/29 18:59:22:020',12,148,10,0.483177,0.664404,0.654944,0.695639,0.923232
185,'2023/12/29 18:59:22:023',12,149,10,0.483177,0.664404,0.654944,0.695639,0.923232
186,'2023/12/29 18:59:22:281',12,148,9,0.483177,0.664404,0.654944,0.695639,0.923232
187,'2023/12/29 18:59:22:332',12,147,9,0.483177,0.664404,0.654944,0.695639,0.923232
188,'2023/12/29 18:59:22:442',12,146,9,0.483177,0.664404,0.654944,0.695639,0.923232
189,'2023/12/29 18:59:22:601',12,145,9,0.483177,0.664404,0.654944,0.695639,0.923232
190,'2023/12/29 18:59:22:961',12,145,10,0.483177,0.664404,0.654944,0.695639,0.923232
191,'2023/12/29 18:59:23:020',12,144,10,0.483177,0.664404,0.654944,0.695639,0.923232
192,'2023/12/29 18:59:23:219',12,144,11,0.483177,0.664404,0.654944,0.695639,0.923232
193,'2023/12/29 18:59:23:325',12,145,11,0.483177,0.664404,0.654944,0.695639,0.923232
