@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
53,'2023/12/30 17:16:31:983',4,0,0,1
54,'2023/12/30 17:16:32:284',4,4,1,1
55,'2023/12/30 17:16:32:296',4,4,2,1
56,'2023/12/30 17:16:32:318',4,5,2,1
57,'2023/12/30 17:16:32:320',4,5,3,1
58,'2023/12/30 17:16:32:369',4,5,4,1
59,'2023/12/30 17:16:32:413',4,5,5,1
60,'2023/12/30 17:16:32:447',4,4,6,1
61,'2023/12/30 17:16:32:463',4,4,8,1
62,'2023/12/30 17:16:32:480',4,3,8,1
63,'2023/12/30 17:16:32:496',4,3,9,1
64,'2023/12/30 17:16:32:530',4,3,10,1
65,'2023/12/30 17:16:32:597',4,3,11,1
66,'2023/12/30 17:16:32:705',4,3,12,1
67,'2023/12/30 17:16:32:729',4,4,12,1
68,'2023/12/30 17:16:32:796',4,5,12,1
69,'2023/12/30 17:16:32:813',4,5,13,1
70,'2023/12/30 17:16:32:830',4,6,13,1
71,'2023/12/30 17:16:32:846',4,7,14,1
72,'2023/12/30 17:16:32:876',4,8,14,1
73,'2023/12/30 17:16:32:903',4,9,14,1
74,'2023/12/30 17:16:32:953',4,10,14,1
75,'2023/12/30 17:16:32:997',4,11,14,1
76,'2023/12/30 17:16:33:046',4,12,14,1
77,'2023/12/30 17:16:33:097',4,13,14,1
78,'2023/12/30 17:16:33:113',4,14,14,1
79,'2023/12/30 17:16:33:130',4,15,14,1
80,'2023/12/30 17:16:33:137',4,16,14,1
81,'2023/12/30 17:16:33:237',4,16,13,1
82,'2023/12/30 17:16:33:280',4,16,12,1
83,'2023/12/30 17:16:33:298',4,17,12,1
84,'2023/12/30 17:16:33:318',4,17,11,1
85,'2023/12/30 17:16:33:333',4,19,11,1
86,'2023/12/30 17:16:33:348',4,22,11,1
87,'2023/12/30 17:16:33:364',4,24,10,1
88,'2023/12/30 17:16:33:380',4,25,10,1
89,'2023/12/30 17:16:33:398',4,26,10,1
90,'2023/12/30 17:16:33:421',4,26,9,1
91,'2023/12/30 17:16:33:453',4,26,8,1
92,'2023/12/30 17:16:33:480',4,26,7,1
93,'2023/12/30 17:16:33:486',4,25,7,1
94,'2023/12/30 17:16:33:496',4,25,6,1
95,'2023/12/30 17:16:33:513',4,24,6,1
96,'2023/12/30 17:16:33:529',4,24,5,1
97,'2023/12/30 17:16:33:547',4,23,4,1
98,'2023/12/30 17:16:33:580',4,22,3,1
99,'2023/12/30 17:16:33:597',4,22,2,1
100,'2023/12/30 17:16:33:613',4,21,1,1
101,'2023/12/30 17:16:33:631',4,20,0,1
102,'2023/12/30 17:16:33:647',4,20,0,1
103,'2023/12/30 17:16:33:665',4,19,0,1
104,'2023/12/30 17:16:33:669',4,19,0,1
105,'2023/12/30 17:16:33:698',4,18,0,1
106,'2023/12/30 17:16:33:752',4,17,0,1
107,'2023/12/30 17:16:33:797',4,16,0,1
108,'2023/12/30 17:16:33:830',4,15,0,1
109,'2023/12/30 17:16:33:848',4,14,0,1
110,'2023/12/30 17:16:33:863',4,13,0,1
111,'2023/12/30 17:16:33:896',4,12,0,1
112,'2023/12/30 17:16:33:913',4,11,0,1
113,'2023/12/30 17:16:33:946',4,10,0,1
114,'2023/12/30 17:16:33:968',4,9,0,1
115,'2023/12/30 17:16:33:987',4,8,0,1
116,'2023/12/30 17:16:33:996',4,7,0,1
117,'2023/12/30 17:16:34:002',4,6,0,1
118,'2023/12/30 17:16:34:016',4,5,0,1
119,'2023/12/30 17:16:34:019',4,4,0,1
120,'2023/12/30 17:16:34:038',4,3,0,1
121,'2023/12/30 17:16:34:220',4,4,0,1
122,'2023/12/30 17:16:34:237',4,5,1,1
123,'2023/12/30 17:16:34:253',4,6,2,1
124,'2023/12/30 17:16:34:263',4,6,3,1
125,'2023/12/30 17:16:34:274',4,7,3,1
126,'2023/12/30 17:16:34:279',4,8,4,1
127,'2023/12/30 17:16:34:297',4,9,5,1
128,'2023/12/30 17:16:34:320',4,10,6,1
129,'2023/12/30 17:16:34:330',4,10,7,1
130,'2023/12/30 17:16:34:347',4,11,7,1
131,'2023/12/30 17:16:34:363',4,11,8,1
132,'2023/12/30 17:16:34:380',4,12,8,1
133,'2023/12/30 17:16:34:431',4,12,9,1
134,'2023/12/30 17:16:34:713',4,12,8,1
135,'2023/12/30 17:16:42:552',5,70,10,2
136,'2023/12/30 17:16:42:866',5,67,9,2
137,'2023/12/30 17:16:42:880',5,66,9,2
138,'2023/12/30 17:16:42:914',5,65,9,2
139,'2023/12/30 17:16:42:980',5,65,8,2
140,'2023/12/30 17:16:43:047',5,65,7,2
141,'2023/12/30 17:16:43:078',5,66,7,2
142,'2023/12/30 17:16:43:085',5,66,6,2
143,'2023/12/30 17:16:43:096',5,66,5,2
144,'2023/12/30 17:16:43:105',5,66,4,2
145,'2023/12/30 17:16:43:115',5,67,3,2
146,'2023/12/30 17:16:43:129',5,68,1,2
147,'2023/12/30 17:16:43:149',5,68,0,2
148,'2023/12/30 17:16:43:163',5,69,0,2
149,'2023/12/30 17:16:43:180',5,69,0,2
150,'2023/12/30 17:16:43:196',5,70,0,2
151,'2023/12/30 17:16:43:246',5,71,0,2
152,'2023/12/30 17:16:43:330',5,72,0,2
153,'2023/12/30 17:16:43:373',5,73,0,2
154,'2023/12/30 17:16:43:402',5,74,0,2
155,'2023/12/30 17:16:43:413',5,76,0,2
156,'2023/12/30 17:16:43:430',5,77,1,2
157,'2023/12/30 17:16:43:458',5,78,1,2
